City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
325,Norsup,VU,81.82,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
329,Sao Filipe,CV,75.76,overcast clouds,14.8961,-24.4956,Hotel Xaguate
339,Taguatinga,BR,80.67,overcast clouds,-12.3857,-46.5711,
346,Micheweni,TZ,78.44,moderate rain,-4.9667,39.8333,
353,Viedma,AR,84.49,few clouds,-40.8135,-62.9967,Hotel Cristal
354,Vao,NC,78.17,light rain,-22.6667,167.4833,Hotel Kou-Bugny
355,Inhambane,MZ,78.1,broken clouds,-23.865,35.3833,Oceano
360,Gamba,GA,78.1,light rain,-2.65,10.0,
361,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
369,Todos Santos,MX,82.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
373,Ankazoabo,MG,76.82,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
374,Thinadhoo,MV,80.85,overcast clouds,0.5333,72.9333,
375,Palmas,BR,85.87,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
379,Aldama,MX,83.5,overcast clouds,22.9167,-98.0667,CASA CANYE
382,Mumford,GH,81.21,clear sky,5.2618,-0.759,Spanish Villa
385,Auki,SB,78.35,overcast clouds,-8.7676,160.7034,Auki Motel
386,Tierralta,CO,87.37,overcast clouds,8.1736,-76.0592,Hotel La Marqueza
387,Saint Hubert,MU,76.86,scattered clouds,-20.3642,57.6383,Riche en Eau Weather station
388,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
390,Gizo,SB,81.57,overcast clouds,-8.103,156.8419,Imagination Island
395,Labuhan,ID,78.28,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
399,Mahanoro,MG,77.02,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
400,Kingsville,US,89.69,broken clouds,27.5159,-97.8561,Econo Lodge Kingsville
401,Alto Paraguai,BR,89.08,overcast clouds,-14.5136,-56.4825,Good Rest Palace Hotel
405,Tabou,CI,80.92,few clouds,4.423,-7.3528,hotêl doufoulougou
406,Ihiala,NG,80.19,scattered clouds,5.8538,6.8603,Tony King Suites Limited
408,Honiara,SB,79.02,overcast clouds,-9.4333,159.95,Heritage Park Hotel
410,Grand Gaube,MU,78.39,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
415,Kulhudhuffushi,MV,82.17,clear sky,6.6221,73.07,Haajy Guest House 1
426,Ati,TD,80.47,clear sky,13.2154,18.3353,
427,Alyangula,AU,75.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
437,Araguaina,BR,76.57,heavy intensity rain,-7.1911,-48.2072,Hotel São Vicente
446,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
448,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
449,Ambon,ID,81.0,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
455,Isangel,VU,78.91,few clouds,-19.55,169.2667,Tanna Lodge
460,Balabac,PH,81.39,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
462,Port Blair,IN,79.14,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
467,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
470,Sinnamary,GF,78.62,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
472,Isla Mujeres,MX,84.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
473,Sola,VU,77.67,few clouds,-13.8833,167.55,Leumerus Bungalows
475,Cienfuegos,CU,86.14,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
476,Santa Catalina,PH,77.56,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
480,Mattru,SL,79.48,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
481,Boca Do Acre,BR,77.11,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
487,Guayaramerin,BO,89.65,scattered clouds,-10.8368,-65.3614,Hostal Funf
490,Pochutla,MX,89.42,few clouds,15.7432,-96.4661,Hotel Posada San Jose
494,Sao Miguel,BR,88.57,broken clouds,-5.4667,-35.3667,Maracajaú Reef
501,Basoko,CD,77.34,overcast clouds,1.2391,23.616,Jackyna Hotel
510,Mana,GF,78.82,overcast clouds,5.6592,-53.7767,LE SAMANA
511,Santa Rosa,PH,78.12,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
513,Pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
514,Kavaratti,IN,82.08,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
522,Vung Tau,VN,76.08,overcast clouds,10.346,107.0843,Green hotel
524,Torit,SS,88.95,broken clouds,4.4133,32.5678,Diplomat Guest House
527,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
528,Port-Gentil,GA,81.54,broken clouds,-0.7193,8.7815,Fengshui Residence
529,Juxtlahuaca,MX,87.22,overcast clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
531,Maturin,VE,87.89,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
533,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
534,Morondava,MG,80.13,overcast clouds,-20.2833,44.2833,La Case Bambou
537,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
538,Ikom,NG,80.01,scattered clouds,5.9667,8.7063,Reho Farm & Resort
539,Taraza,CO,88.95,overcast clouds,7.5836,-75.4007,Hotel Monteverde
542,Ahuimanu,US,77.45,broken clouds,21.4447,-157.8378,Paradise Bay Resort
544,Mafinga,TZ,78.22,overcast clouds,-7.25,35.0667,
551,Axim,GH,80.46,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
554,Tahoua,NE,82.38,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
557,Capellania,PA,89.31,few clouds,8.3,-80.55,Calle la cruz
565,Meulaboh,ID,77.34,overcast clouds,4.1363,96.1285,Kost Pria
566,Mahajanga,MG,82.42,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
568,Los Palacios,CU,83.91,clear sky,22.5872,-83.2486,
573,Davila,PH,75.18,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
574,Karratha,AU,87.21,clear sky,-20.7377,116.8463,ibis Styles Karratha
575,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
577,Bosaso,SO,75.97,few clouds,11.2842,49.1816,Red Sea Hotel
584,Moron,AR,82.02,overcast clouds,-34.6534,-58.6198,Hotel Morón
585,Boyolangu,ID,76.21,overcast clouds,-8.1181,111.8935,Yos ega cv
586,Sao Jose Da Coroa Grande,BR,82.47,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
587,Aketi,CD,76.17,overcast clouds,2.7388,23.7833,
590,Alappuzha,IN,79.86,clear sky,9.49,76.3264,Panoramic Sea Resort
604,Conceicao Do Araguaia,BR,80.71,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
611,Makakilo City,US,77.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
