City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
376,Bac Lieu,9.285,105.7244,75.63,80,100,1.97,VN,2021-12-08 18:54:17
377,Port Hawkesbury,45.6169,-61.3485,31.59,62,75,1.99,CA,2021-12-08 18:54:18
378,Torbay,47.6666,-52.7314,36.68,70,75,9.22,CA,2021-12-08 18:54:18
379,Koster,-25.863,26.8976,65.3,65,49,5.32,ZA,2021-12-08 18:54:18
380,Kaohsiung,22.6163,120.3133,68.04,80,20,3.44,TW,2021-12-08 18:54:19
381,Itapirapua,-15.8233,-50.6133,89.74,44,42,3.11,BR,2021-12-08 18:54:19
382,San Quintin,30.4833,-115.95,64.99,64,89,5.93,MX,2021-12-08 18:54:19
383,Itatskiy,56.07,89.0369,1.98,92,100,10.8,RU,2021-12-08 18:54:20
384,Komsomolskiy,40.4272,71.7189,36.82,80,0,4.61,UZ,2021-12-08 18:54:20
385,Iralaya,15.0,-83.2333,82.42,75,97,12.53,HN,2021-12-08 18:54:21
386,Nouadhibou,20.931,-17.0347,66.65,70,7,18.37,MR,2021-12-08 18:54:21
387,Mandalgovi,45.7625,106.2708,21.49,46,1,14.29,MN,2021-12-08 18:54:21
388,Montecristo,8.2971,-74.4733,91.72,54,67,3.24,CO,2021-12-08 18:54:22
389,Xucheng,20.35,110.1288,68.7,82,7,14.14,CN,2021-12-08 18:54:22
390,Saldanha,-33.0117,17.9442,77.05,88,6,12.35,ZA,2021-12-08 18:54:22
391,Iquitos,-3.7481,-73.2472,87.84,62,40,11.5,PE,2021-12-08 18:54:23
392,Kalmunai,7.4167,81.8167,79.05,82,64,7.4,LK,2021-12-08 18:54:23
393,Kununurra,-15.7667,128.7333,75.18,83,40,14.97,AU,2021-12-08 18:54:23
394,Asau,46.4333,26.4,31.75,81,100,1.59,RO,2021-12-08 18:54:25
395,Vostochnyy,55.8167,37.8667,19.38,90,100,8.16,RU,2021-12-08 18:54:25
396,Ndele,8.4109,20.6473,80.17,18,55,4.36,CF,2021-12-08 18:54:26
397,North Platte,41.1239,-100.7654,57.09,33,1,4.0,US,2021-12-08 18:54:26
398,Pundaguitan,6.3711,126.1689,81.9,80,100,8.05,PH,2021-12-08 18:54:26
399,Serra,-20.1286,-40.3078,74.66,78,90,11.5,BR,2021-12-08 18:54:27
