City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Description
225,Hithadhoo,-0.6,73.0833,81.21,79,84,8.93,MV,2021-12-10 18:37:50,moderate rain
226,Tecoanapa,16.5167,-98.75,84.81,68,47,10.38,MX,2021-12-10 18:42:49,scattered clouds
227,Porto Walter,-8.2686,-72.7439,76.93,88,99,3.74,BR,2021-12-10 18:42:49,light rain
228,Pauini,-7.7136,-66.9764,74.66,96,100,2.28,BR,2021-12-10 18:42:50,overcast clouds
229,Lakselv,70.0513,24.9718,23.76,68,75,21.85,NO,2021-12-10 18:42:55,broken clouds
230,Calabozo,8.9242,-67.4293,95.58,29,100,8.39,VE,2021-12-10 18:42:56,overcast clouds
231,Vanimo,-2.6741,141.3028,79.45,90,100,8.32,PG,2021-12-10 18:38:34,overcast clouds
232,Fort Nelson,58.8053,-122.7002,-2.61,84,75,3.44,CA,2021-12-10 18:37:00,broken clouds
233,Gazanjyk,39.2446,55.5154,50.5,75,9,3.4,TM,2021-12-10 18:42:56,clear sky
234,Alofi,-19.0595,-169.9187,75.09,83,90,4.61,NU,2021-12-10 18:42:57,light rain
235,Vila Franca Do Campo,37.7167,-25.4333,64.2,71,99,5.44,PT,2021-12-10 18:42:57,overcast clouds
236,Vostok,46.4856,135.8833,26.56,99,100,3.02,RU,2021-12-10 18:42:57,light snow
237,Novokizhinginsk,51.6115,109.5917,9.25,88,97,10.45,RU,2021-12-10 18:42:58,overcast clouds
238,Saldanha,-33.0117,17.9442,66.25,91,17,7.92,ZA,2021-12-10 18:40:19,few clouds
239,Bemidji,47.4736,-94.8803,28.56,74,1,0.0,US,2021-12-10 18:42:58,clear sky
240,Afua,-0.1567,-50.3867,85.37,69,98,8.97,BR,2021-12-10 18:42:58,light rain
241,Ziniare,12.5822,-1.2983,82.44,11,100,8.99,BF,2021-12-10 18:42:59,overcast clouds
242,Laguna,38.421,-121.4238,55.87,69,1,1.99,US,2021-12-10 18:42:59,clear sky
243,Reinosa,42.9996,-4.138,46.06,96,100,5.99,ES,2021-12-10 18:42:59,overcast clouds
244,Slonim,53.0867,25.3219,36.88,98,100,10.22,BY,2021-12-10 18:43:00,overcast clouds
245,Harper,4.375,-7.7169,80.76,80,31,8.77,LR,2021-12-10 18:43:00,scattered clouds
246,Los Llanos De Aridane,28.6585,-17.9182,64.15,69,75,17.0,ES,2021-12-10 18:43:00,broken clouds
247,Suket,24.65,76.0333,59.85,47,17,5.32,IN,2021-12-10 18:43:01,few clouds
248,Pruszkow,52.1707,20.8121,35.11,94,75,5.75,PL,2021-12-10 18:43:01,broken clouds
249,Puerto Leguizamo,-0.1934,-74.7819,84.22,71,100,0.78,CO,2021-12-10 18:43:01,overcast clouds
250,Rio Das Ostras,-22.5269,-41.945,80.64,78,41,6.2,BR,2021-12-10 18:43:02,scattered clouds
251,Lebu,-37.6167,-73.65,62.08,74,7,10.11,CL,2021-12-10 18:38:04,clear sky
252,Belgrade,44.804,20.4651,40.69,92,75,1.01,RS,2021-12-10 18:40:36,broken clouds
253,Naze,28.3667,129.4833,62.8,64,6,8.16,JP,2021-12-10 18:43:02,clear sky
254,San Ramon,37.7799,-121.978,54.55,63,1,1.99,US,2021-12-10 18:41:32,clear sky
255,Bani Walid,31.7566,13.9942,54.1,31,0,11.5,LY,2021-12-10 18:43:03,clear sky
256,Bathsheba,13.2167,-59.5167,84.81,61,40,19.57,BB,2021-12-10 18:43:03,scattered clouds
257,Kieta,-6.2167,155.6333,79.56,85,100,4.65,PG,2021-12-10 18:43:04,light rain
